Folder,Image,LL Energy,LH Energy,HL Energy,HH Energy
Celeb-real,id0_0000_dft.png,255692242.8,156731.75,111699.75,54252.75
Celeb-real,id0_0001_dft.png,281290955,191600,428894,131921
Celeb-real,id0_0002_dft.png,241291669,868368,998391,744908
Celeb-real,id0_0003_dft.png,304895526,238680,2456390,198952
Celeb-real,id0_0004_dft.png,359008350.5,1199087.5,1827301.5,1103174.5
Celeb-real,id0_0005_dft.png,349547817,157266,458897,142292
Celeb-real,id0_0006_dft.png,269220328,1697230,1729595,1533051
Celeb-real,id0_0007_dft.png,257401163.8,305279.75,322419.75,92905.75
Celeb-real,id0_0008_dft.png,183275804.3,381240.25,239445.25,114143.25
Celeb-real,id0_0009_dft.png,301419177,120843,824858,149052
Celeb-real,id10_0000_dft.png,268081858.8,659248.75,1174202.75,361640.75
Celeb-real,id10_0001_dft.png,183533829.3,160748.25,244869.25,48594.25
Celeb-real,id10_0002_dft.png,236033171,172541,467379,123463
Celeb-real,id10_0003_dft.png,220919537.5,147878.5,434966.5,91313.5
Celeb-real,id10_0004_dft.png,235258334.5,505063.5,476964.5,159549.5
Celeb-real,id10_0005_dft.png,253928743,174690,235488,103435
Celeb-real,id10_0006_dft.png,240901844.3,123897.25,97546.25,68337.25
Celeb-real,id10_0007_dft.png,215448584.8,245913.75,143929.75,25876.75
Celeb-real,id10_0008_dft.png,185270596.5,134314.5,109233.5,49253.5
Celeb-real,id10_0009_dft.png,235369711,181711,335435,102713
Celeb-real,id11_0000_dft.png,243141814,208606,323276,80164
Celeb-real,id11_0001_dft.png,285640825.8,574207.75,1323871.75,574325.75
Celeb-real,id11_0002_dft.png,255650360.8,305309.75,486807.75,274374.75
Celeb-real,id11_0003_dft.png,245250248.3,203843.25,294932.25,94333.25
Celeb-real,id11_0004_dft.png,210244041.5,260079.5,724829.5,206749.5
Celeb-real,id11_0005_dft.png,247053923.8,730316.75,637295.75,640238.75
Celeb-real,id11_0006_dft.png,305991688,921210,699947,350671
Celeb-real,id11_0007_dft.png,241516405.5,138916.5,157265.5,76124.5
Celeb-real,id11_0008_dft.png,314126748.3,1452109.25,1055451.25,782898.25
Celeb-real,id11_0009_dft.png,264330819.8,1782001.75,1643292.75,1192336.75
Celeb-real,id11_0010_dft.png,219870403.5,216057.5,314076.5,90084.5
