Folder,Image,LL Energy,LH Energy,HL Energy,HH Energy
Celeb-synthesis,id0_id16_0000_dft.png,94008323.75,141888.75,116717.75,59424.75
Celeb-synthesis,id0_id16_0001_dft.png,85754934.25,215340.25,96461.25,51107.25
Celeb-synthesis,id0_id16_0002_dft.png,73289892.25,338611.25,316913.25,242652.25
Celeb-synthesis,id0_id16_0003_dft.png,93627628,254944,259674,103580
Celeb-synthesis,id0_id16_0004_dft.png,99889569.5,459844.5,304650.5,265177.5
Celeb-synthesis,id0_id16_0005_dft.png,129967403.5,111875.5,188918.5,59690.5
Celeb-synthesis,id0_id16_0006_dft.png,78637691.5,296633.5,315568.5,201640.5
Celeb-synthesis,id0_id16_0007_dft.png,103766023.3,178748.25,147850.25,134561.25
Celeb-synthesis,id0_id16_0008_dft.png,81510630,120436,114500,52100
Celeb-synthesis,id0_id16_0009_dft.png,98252174.25,85679.25,180917.25,47482.25
Celeb-synthesis,id0_id17_0000_dft.png,84947541.25,146243.25,119233.25,60603.25
Celeb-synthesis,id0_id17_0001_dft.png,78821310.25,221838.25,98112.25,52386.25
Celeb-synthesis,id0_id17_0002_dft.png,85803183,325493,303409,231001
Celeb-synthesis,id0_id17_0003_dft.png,93821327,254592,259016,102899
Celeb-synthesis,id0_id17_0005_dft.png,139147181,109720,185867,59674
Celeb-synthesis,id0_id17_0006_dft.png,79735861.25,297596.25,316357.25,203656.25
Celeb-synthesis,id0_id17_0007_dft.png,100935564.8,180745.75,149604.75,135985.75
Celeb-synthesis,id0_id17_0009_dft.png,102801342,84628,180167,46961
Celeb-synthesis,id0_id1_0000_dft.png,82713854.25,147920.25,120419.25,61031.25
Celeb-synthesis,id0_id1_0001_dft.png,81294958.5,218903.5,97420.5,51625.5
Celeb-synthesis,id0_id1_0002_dft.png,86755124.25,327770.25,306518.25,234246.25
Celeb-synthesis,id0_id1_0003_dft.png,89079266.5,258575.5,263315.5,104724.5
Celeb-synthesis,id0_id1_0005_dft.png,126637462,114001,191571,61012
Celeb-synthesis,id0_id1_0006_dft.png,73413838.75,304102.75,323255.75,206343.75
Celeb-synthesis,id0_id1_0007_dft.png,100634523.5,182783.5,148624.5,136024.5
Celeb-synthesis,id0_id1_0009_dft.png,95889943,86963,182337,48045
Celeb-synthesis,id0_id20_0000_dft.png,91808819.25,142370.25,118233.25,58738.25
Celeb-synthesis,id0_id20_0001_dft.png,81700456,222681,97192,52059
Celeb-synthesis,id0_id20_0002_dft.png,87037573.5,329776.5,308076.5,236957.5
Celeb-synthesis,id0_id20_0003_dft.png,87510328.25,261371.25,266025.25,108062.25
Celeb-synthesis,id0_id20_0004_dft.png,106928379.3,459329.25,295242.25,257816.25
Celeb-synthesis,id0_id20_0005_dft.png,127937903.5,115182.5,187216.5,60513.5
Celeb-synthesis,id0_id20_0006_dft.png,82581395,293784,309227,198220
Celeb-synthesis,id0_id20_0007_dft.png,102614378.5,185714.5,151806.5,138778.5
Celeb-synthesis,id0_id20_0009_dft.png,99036225.5,85832.5,178371.5,47504.5
Celeb-synthesis,id0_id21_0000_dft.png,84501094.5,144978.5,120478.5,60232.5
Celeb-synthesis,id0_id21_0001_dft.png,83597188.5,221270.5,97190.5,52216.5
Celeb-synthesis,id0_id21_0002_dft.png,75449024,338306,316815,244545
Celeb-synthesis,id0_id21_0003_dft.png,88696183.5,261641.5,265874.5,107426.5
Celeb-synthesis,id0_id21_0004_dft.png,106215605.5,460842.5,297662.5,260139.5
Celeb-synthesis,id0_id21_0005_dft.png,125618487,115282,187502,60331
Celeb-synthesis,id0_id21_0006_dft.png,85542439.5,292037.5,307815.5,196533.5
Celeb-synthesis,id0_id21_0007_dft.png,99436158.75,187341.75,152846.75,141007.75
Celeb-synthesis,id0_id21_0009_dft.png,95228358.5,86739.5,179704.5,47911.5
Celeb-synthesis,id0_id23_0000_dft.png,85697897.75,144386.75,119737.75,60062.75
Celeb-synthesis,id0_id23_0001_dft.png,83221260.75,221087.75,97023.75,52036.75
Celeb-synthesis,id0_id23_0002_dft.png,76160715.5,344417.5,320281.5,246179.5
Celeb-synthesis,id0_id23_0004_dft.png,109417959.5,461522.5,298119.5,261966.5
Celeb-synthesis,id0_id23_0005_dft.png,116299365.5,119214.5,194309.5,62670.5
Celeb-synthesis,id0_id23_0007_dft.png,102014833.5,185643.5,153014.5,139456.5
Celeb-synthesis,id0_id23_0009_dft.png,99916191.75,86163.75,177761.75,47829.75
Celeb-synthesis,id0_id26_0000_dft.png,90773956,142227,119030,58399
Celeb-synthesis,id0_id26_0001_dft.png,83244557.5,220968.5,97045.5,52226.5
Celeb-synthesis,id0_id26_0002_dft.png,83889302.75,332255.75,311817.75,239530.75
Celeb-synthesis,id0_id26_0003_dft.png,87669506.25,261980.25,264570.25,107538.25
Celeb-synthesis,id0_id26_0004_dft.png,101254486.3,465996.25,302254.25,265146.25
Celeb-synthesis,id0_id26_0005_dft.png,128274201.8,114650.75,185962.75,60189.75
Celeb-synthesis,id0_id26_0006_dft.png,84189176.25,292235.25,308677.25,197232.25
Celeb-synthesis,id0_id26_0007_dft.png,96849086,186754,153018,139484
Celeb-synthesis,id0_id26_0008_dft.png,83376391.5,120692.5,115503.5,52928.5
Celeb-synthesis,id0_id26_0009_dft.png,95151495.5,86787.5,182578.5,47744.5
Celeb-synthesis,id0_id28_0000_dft.png,91540501,142553,118051,58767
Celeb-synthesis,id0_id28_0001_dft.png,82001298.5,222101.5,97427.5,51824.5
Celeb-synthesis,id0_id28_0002_dft.png,72221982.25,339622.25,318930.25,245160.25
Celeb-synthesis,id0_id28_0003_dft.png,87622771.25,260347.25,263027.25,106035.25
