Folder,Image,LL Energy,LH Energy,HL Energy,HH Energy
Deepfakes,000_003_dft.png,82663879.75,140920.75,161962.75,83349.75
Deepfakes,001_870_dft.png,80376795.25,180395.25,201458.25,110548.25
Deepfakes,002_006_dft.png,97891207.75,378294.75,563675.75,350048.75
Deepfakes,003_000_dft.png,87631629.5,430060.5,117926.5,54971.5
Deepfakes,004_982_dft.png,119491327,431973,225064,171500
Deepfakes,005_010_dft.png,113166488.8,184713.75,205309.75,97962.75
Deepfakes,006_002_dft.png,97158539,215174,405902,152829
Deepfakes,007_132_dft.png,88574925.25,234380.25,500474.25,174907.25
Deepfakes,008_990_dft.png,99078895.75,777052.75,267326.75,197419.75
Deepfakes,009_027_dft.png,123379242.5,519866.5,532174.5,412708.5
Deepfakes,010_005_dft.png,94062853.75,224883.75,215105.75,148395.75
Deepfakes,011_805_dft.png,64846874.75,160420.75,171306.75,97110.75
Deepfakes,012_026_dft.png,96153716.25,207595.25,280850.25,184691.25
Deepfakes,013_883_dft.png,79606868.5,206703.5,229555.5,146960.5
Deepfakes,014_790_dft.png,125809300,249378,228536,132858
Deepfakes,015_919_dft.png,92231535,245464,225846,112763
Deepfakes,016_209_dft.png,103133324.5,299170.5,194544.5,117332.5
Deepfakes,017_803_dft.png,78711086.75,162636.75,178696.75,93564.75
Deepfakes,018_019_dft.png,90514986.75,289275.75,316622.75,123337.75
Deepfakes,019_018_dft.png,75775904.5,142118.5,217642.5,93638.5
Deepfakes,020_344_dft.png,91178683,166120,349412,107147
Deepfakes,021_312_dft.png,118013226.3,592064.25,801331.25,505801.25
Deepfakes,022_489_dft.png,94304929.25,422460.25,594452.25,364765.25
Deepfakes,023_923_dft.png,104734274,228747,202781,104906
Deepfakes,024_073_dft.png,87058312,302207,166901,92538
Deepfakes,025_067_dft.png,82302919.75,287535.75,658781.75,235041.75
Deepfakes,026_012_dft.png,111770059.3,335027.25,302518.25,213960.25
Deepfakes,027_009_dft.png,104696092.8,344469.75,202133.75,97322.75
Deepfakes,028_068_dft.png,86656532.25,199794.25,164593.25,110059.25
Deepfakes,029_048_dft.png,82611661.5,218193.5,187250.5,89404.5
Deepfakes,030_193_dft.png,96131407.75,157665.75,150143.75,104051.75
Deepfakes,031_163_dft.png,112855271.5,137024.5,290416.5,72157.5
Deepfakes,032_944_dft.png,79905195,187959,176200,117940
Deepfakes,033_097_dft.png,90878047,304283,193887,118277
Deepfakes,034_590_dft.png,122596945,305148,360468,209835
Deepfakes,035_036_dft.png,73516167.25,175318.25,277157.25,116696.25
Deepfakes,036_035_dft.png,82307107,107290,195017,69228
Deepfakes,037_072_dft.png,84228231.25,522338.25,220722.25,151201.25
Deepfakes,038_125_dft.png,79254033,111698,106624,46863
Deepfakes,039_058_dft.png,95572099.5,415433.5,386166.5,300780.5
Deepfakes,040_997_dft.png,76854465.75,201595.75,336545.75,120617.75
Deepfakes,041_063_dft.png,102052313.8,361899.75,267496.75,117814.75
Deepfakes,042_084_dft.png,76625639.25,106488.25,124190.25,49359.25
Deepfakes,043_110_dft.png,81916581.25,220918.25,264625.25,126024.25
Deepfakes,044_945_dft.png,69484446,141578,128523,56687
Deepfakes,045_889_dft.png,55844551,157611,157067,64333
Deepfakes,046_904_dft.png,61730642,144624,147468,61198
Deepfakes,047_862_dft.png,96471069.5,437844.5,584107.5,379920.5
Deepfakes,048_029_dft.png,111425755.3,426285.25,212294.25,143800.25
Deepfakes,049_946_dft.png,101648961.3,139584.25,329295.25,107290.25
Deepfakes,050_059_dft.png,80513564.25,359707.25,540803.25,266140.25
Deepfakes,051_332_dft.png,100351156.5,431418.5,390790.5,285528.5
Deepfakes,052_108_dft.png,95609936.5,146753.5,133028.5,79505.5
Deepfakes,053_095_dft.png,93345751.5,357635.5,332336.5,229152.5
Deepfakes,054_071_dft.png,109895338.8,366568.75,298260.75,246532.75
Deepfakes,055_147_dft.png,112481764.3,254684.25,388745.25,182799.25
Deepfakes,056_996_dft.png,66291426.75,217113.75,278229.75,126956.75
Deepfakes,057_070_dft.png,88620905.25,93806.25,126506.25,51215.25
Deepfakes,058_039_dft.png,105826570.8,168713.75,361244.75,112817.75
Deepfakes,059_050_dft.png,86903230.25,259889.25,142306.25,76671.25
Deepfakes,060_088_dft.png,84116710.25,113847.25,140690.25,46557.25
Deepfakes,061_080_dft.png,94864079.5,489654.5,224175.5,174768.5
Deepfakes,062_066_dft.png,78615291.5,205362.5,215279.5,125882.5
Deepfakes,063_041_dft.png,83221805.25,422805.25,188985.25,79755.25
Deepfakes,064_991_dft.png,84084231,223504,303790,137371
Deepfakes,065_089_dft.png,84383540.5,111324.5,172059.5,62933.5
Deepfakes,066_062_dft.png,99495639.25,394811.25,467706.25,100834.25
Deepfakes,067_025_dft.png,80122882.75,393436.75,239210.75,220914.75
Deepfakes,068_028_dft.png,84006462,80229,142114,37767
Deepfakes,069_961_dft.png,86482901.5,189730.5,158244.5,79847.5
Deepfakes,070_057_dft.png,91836709.25,173740.25,194162.25,101403.25
Deepfakes,071_054_dft.png,86508697,106308,135001,42344
Deepfakes,072_037_dft.png,95954192.5,289650.5,213591.5,127999.5
