Folder,Image,LL Energy,LH Energy,HL Energy,HH Energy
Face2Face,000_003_dft.png,74219937.25,162339.25,186048.25,101234.25
Face2Face,001_870_dft.png,77173658.75,186848.75,206543.75,114779.75
Face2Face,002_006_dft.png,108328324,393462,588707,367433
Face2Face,003_000_dft.png,84055513.5,442370.5,110912.5,51659.5
Face2Face,004_982_dft.png,107199564.3,431201.25,214682.25,161925.25
Face2Face,005_010_dft.png,110299889.8,182015.75,180704.75,101448.75
Face2Face,006_002_dft.png,100348742.3,201024.25,390071.25,139461.25
Face2Face,007_132_dft.png,84022737.5,218835.5,466078.5,181300.5
Face2Face,008_990_dft.png,104827260.3,817857.25,316211.25,246726.25
Face2Face,009_027_dft.png,135346680.8,502400.75,527894.75,394290.75
Face2Face,010_005_dft.png,90002237,240192,232540,163321
Face2Face,011_805_dft.png,60760861,179772,190922,120113
Face2Face,012_026_dft.png,93478659.5,219393.5,290288.5,195034.5
Face2Face,013_883_dft.png,81519561.25,207777.25,231208.25,147222.25
Face2Face,014_790_dft.png,133365018.5,246833.5,226296.5,131401.5
Face2Face,015_919_dft.png,97029805,238496,221880,109707
Face2Face,016_209_dft.png,98356011.5,324284.5,204388.5,134011.5
Face2Face,017_803_dft.png,72583943,176149,186570,103966
Face2Face,018_019_dft.png,95343134.75,272581.75,299516.75,109347.75
Face2Face,019_018_dft.png,75974605,153883,230202,108492
Face2Face,020_344_dft.png,90133877.25,155103.25,345721.25,98637.25
Face2Face,021_312_dft.png,116334799,605908,815301,543234
Face2Face,022_489_dft.png,103188482,420504,588948,362658
Face2Face,023_923_dft.png,100757175,225507,203402,101962
Face2Face,024_073_dft.png,87286614.5,295526.5,160138.5,86228.5
Face2Face,025_067_dft.png,79138567.25,301041.25,673928.25,247694.25
Face2Face,026_012_dft.png,122983230,321172,296982,201164
Face2Face,027_009_dft.png,103658290.3,342157.25,197076.25,89221.25
Face2Face,028_068_dft.png,86622584,193601,169808,113239
Face2Face,029_048_dft.png,82138128.75,196025.75,175913.75,85780.75
Face2Face,030_193_dft.png,91415150.75,139534.75,130260.75,89968.75
Face2Face,031_163_dft.png,113612275.8,151777.75,327481.75,83219.75
Face2Face,032_944_dft.png,78268811,174538,165489,111958
Face2Face,033_097_dft.png,89385764.5,210344.5,238471.5,139599.5
Face2Face,034_590_dft.png,118584674.3,316529.25,363766.25,212051.25
Face2Face,035_036_dft.png,77060213.25,196185.25,317225.25,143531.25
Face2Face,036_035_dft.png,91032013,101543,188489,66247
Face2Face,037_072_dft.png,79653970,266157,224821,146628
Face2Face,038_125_dft.png,77084000.75,106002.75,104964.75,45124.75
Face2Face,039_058_dft.png,88769717.75,393586.75,383613.75,288322.75
Face2Face,040_997_dft.png,79733750.5,205267.5,316418.5,123917.5
Face2Face,041_063_dft.png,92308685.75,157499.75,244514.75,104448.75
Face2Face,042_084_dft.png,84094837.75,105398.75,119382.75,48027.75
Face2Face,043_110_dft.png,77972567.5,209270.5,253396.5,117747.5
Face2Face,044_945_dft.png,69405137,131273,120609,49055
Face2Face,045_889_dft.png,54839174.25,153583.25,167645.25,65134.25
Face2Face,046_904_dft.png,67611324.25,149685.25,159606.25,69395.25
Face2Face,047_862_dft.png,91934381,428958,619430,382605
Face2Face,048_029_dft.png,102725869.3,433303.25,213151.25,146605.25
Face2Face,049_946_dft.png,98628486.25,136248.25,321956.25,99682.25
Face2Face,050_059_dft.png,85373061.25,358210.25,548255.25,268706.25
Face2Face,051_332_dft.png,92292322,425820,387762,282370
Face2Face,052_108_dft.png,94228482.25,149763.25,151925.25,87522.25
Face2Face,053_095_dft.png,86916961.5,356733.5,323569.5,220645.5
Face2Face,054_071_dft.png,113430768.8,354470.75,288283.75,234389.75
Face2Face,055_147_dft.png,115222641.5,229560.5,369975.5,160874.5
Face2Face,056_996_dft.png,77173768.75,209521.75,269295.75,119712.75
Face2Face,057_070_dft.png,84889709.5,95093.5,134202.5,53734.5
Face2Face,058_039_dft.png,95890774.75,188874.75,366980.75,124688.75
Face2Face,059_050_dft.png,86465613.5,275572.5,146356.5,81157.5
Face2Face,060_088_dft.png,93021633,102330,138513,45940
Face2Face,061_080_dft.png,90410222,299876,205684,129770
Face2Face,062_066_dft.png,90865135.5,203315.5,213712.5,124000.5
Face2Face,063_041_dft.png,87877076.25,434579.25,203346.25,92369.25
Face2Face,064_991_dft.png,86106425.25,221362.25,306772.25,136241.25
Face2Face,065_089_dft.png,84080595.25,107401.25,167041.25,56399.25
Face2Face,066_062_dft.png,92048203.5,131772.5,439941.5,89360.5
Face2Face,067_025_dft.png,72803668.75,401891.75,241733.75,223300.75
Face2Face,068_028_dft.png,94584160.25,75786.25,138624.25,35632.25
Face2Face,069_961_dft.png,82935393,193986,163276,81581
Face2Face,070_057_dft.png,89107081.75,164467.75,189726.75,94816.75
Face2Face,071_054_dft.png,90457675,105256,136498,44945
Face2Face,072_037_dft.png,85147477,184938,228213,122828
Face2Face,073_024_dft.png,74885143.5,232765.5,261782.5,155536.5
Face2Face,074_825_dft.png,68721114,240402,258783,150559
Face2Face,075_977_dft.png,87179073.25,160046.25,145023.25,75754.25
Face2Face,076_079_dft.png,70771937.25,284635.25,206902.25,163814.25
Face2Face,077_100_dft.png,94384566.25,219333.25,238984.25,137077.25
Face2Face,078_955_dft.png,87421344,339643,288904,205053
Face2Face,079_076_dft.png,71335836.5,136094.5,164552.5,65846.5
Face2Face,080_061_dft.png,83615379.25,391909.25,349717.25,285869.25
Face2Face,081_087_dft.png,106447483.5,228969.5,496860.5,188656.5
Face2Face,082_103_dft.png,89023038.75,356468.75,299982.75,227066.75
Face2Face,083_213_dft.png,114990210.8,544410.75,568245.75,349301.75
Face2Face,084_042_dft.png,70044957.5,193868.5,179854.5,101431.5
Face2Face,085_124_dft.png,87954985.25,279797.25,211915.25,141605.25
Face2Face,086_090_dft.png,81542030,359882,202872,105404
Face2Face,087_081_dft.png,101839320.5,352347.5,746291.5,292806.5
Face2Face,088_060_dft.png,92426308.25,75958.25,158985.25,33995.25
Face2Face,089_065_dft.png,73168740.25,177515.25,191092.25,115457.25
Face2Face,090_086_dft.png,87627317,96367,171111,47751
Face2Face,091_116_dft.png,92185916.75,407549.75,412559.75,300704.75
Face2Face,092_098_dft.png,92332649.25,248891.25,321077.25,175553.25
Face2Face,093_121_dft.png,61856248.75,109367.75,93571.75,32984.75
Face2Face,094_111_dft.png,70161522.5,172078.5,172551.5,90323.5
Face2Face,095_053_dft.png,93897149.5,134675.5,184492.5,93570.5
Face2Face,096_101_dft.png,76035090.25,259982.25,323524.25,180320.25
Face2Face,097_033_dft.png,97606760.5,300148.5,302710.5,213420.5
Face2Face,098_092_dft.png,74128728,284244,237501,165109
Face2Face,099_295_dft.png,65237683.75,192329.75,200788.75,99308.75
Face2Face,100_077_dft.png,102961590,252753,307984,195709
Face2Face,101_096_dft.png,119166919,227162,394638,134717
Face2Face,102_114_dft.png,99802618.25,204003.25,279303.25,149184.25
Face2Face,103_082_dft.png,80705309.75,119549.75,160082.75,67662.75
Face2Face,104_126_dft.png,101392903.8,131725.75,104701.75,50601.75
Face2Face,105_180_dft.png,87983290,146753,121598,54267
Face2Face,106_198_dft.png,72432883.75,422108.75,412388.75,290697.75
Face2Face,107_109_dft.png,88691543,247565,345220,186488
Face2Face,108_052_dft.png,90130548,299234,496218,118060
Face2Face,109_107_dft.png,116509459.8,345324.75,292772.75,230677.75
Face2Face,110_043_dft.png,78652491,146622,402977,70182
Face2Face,111_094_dft.png,127963144.8,571968.75,803879.75,399347.75
Face2Face,112_892_dft.png,63006804,124456,124842,53388
Face2Face,113_983_dft.png,68798482.25,263942.25,252658.25,162722.25
Face2Face,114_102_dft.png,124303846.5,185746.5,341200.5,117158.5
Face2Face,115_939_dft.png,67631816.25,205508.25,239221.25,135087.25
Face2Face,116_091_dft.png,90969421.25,175594.25,192617.25,106112.25
Face2Face,117_217_dft.png,81122405,166872,181389,135876
Face2Face,118_120_dft.png,111310253.5,250694.5,398311.5,211188.5
Face2Face,119_123_dft.png,80050775,267014,254217,157754
Face2Face,120_118_dft.png,86583365,214484,223134,138449
Face2Face,121_093_dft.png,87494087,173906,155601,72574
Face2Face,122_144_dft.png,99590021.5,426649.5,208181.5,184677.5
Face2Face,123_119_dft.png,85159603.25,217472.25,195285.25,120516.25
Face2Face,124_085_dft.png,91898209.75,128847.75,198733.75,77417.75
Face2Face,125_038_dft.png,73025205.25,288050.25,332778.25,188553.25
Face2Face,126_104_dft.png,84325656.25,83889.25,103940.25,41513.25
Face2Face,127_129_dft.png,97546081.25,475929.25,313603.25,278797.25
Face2Face,128_896_dft.png,107274660.8,249172.75,360868.75,218782.75
Face2Face,129_127_dft.png,90143886.75,262071.75,244061.75,122696.75
Face2Face,130_139_dft.png,80602280.5,82110.5,120522.5,40070.5
Face2Face,131_518_dft.png,103464380,288249,484600,213785
Face2Face,132_007_dft.png,97907214.25,279466.25,311061.25,176571.25
Face2Face,133_148_dft.png,121200471.5,786500.5,514403.5,374644.5
Face2Face,134_192_dft.png,88340467.25,211555.25,239620.25,120668.25
Face2Face,135_880_dft.png,109798430.5,159875.5,241053.5,107174.5
Face2Face,136_285_dft.png,74765773.25,160712.25,197348.25,89995.25
Face2Face,137_165_dft.png,133522153.3,295420.25,343215.25,229418.25
Face2Face,138_142_dft.png,97061069.25,414149.25,534747.25,343423.25
Face2Face,139_130_dft.png,98510038.75,188789.75,393534.75,122441.75
Face2Face,140_143_dft.png,85649635.25,246615.25,132551.25,68803.25
Face2Face,141_161_dft.png,82594665.75,151646.75,151494.75,86235.75
Face2Face,142_138_dft.png,123278478,97866,202368,55386
Face2Face,143_140_dft.png,82245839.75,220722.75,213295.75,92990.75
Face2Face,144_122_dft.png,84234048.75,347482.75,209785.75,198863.75
Face2Face,145_299_dft.png,87383212,303095,536470,274493
Face2Face,146_256_dft.png,70014176.75,167575.75,173836.75,82065.75
Face2Face,147_055_dft.png,82193415,155415,144058,79596
Face2Face,148_133_dft.png,93108247,225709,255144,143084
Face2Face,149_152_dft.png,70971603.5,197987.5,275972.5,138876.5
Face2Face,150_153_dft.png,106913358.8,209302.75,403007.75,114209.75
Face2Face,151_225_dft.png,95548640.75,226237.75,280047.75,160926.75
Face2Face,152_149_dft.png,86386428.75,414325.75,509115.75,303372.75
Face2Face,153_150_dft.png,85786512.75,119438.75,145060.75,70300.75
Face2Face,154_386_dft.png,81794496.75,218513.75,174877.75,98078.75
Face2Face,155_576_dft.png,88231771.75,237498.75,251507.75,161000.75
Face2Face,156_243_dft.png,102724463.5,319289.5,268160.5,103674.5
Face2Face,157_245_dft.png,98354983.75,232830.75,270394.75,184255.75
Face2Face,158_379_dft.png,97163630.25,327036.25,324160.25,222466.25
Face2Face,159_175_dft.png,96425465,105060,318806,63597
Face2Face,160_928_dft.png,73165536.75,206819.75,168266.75,88975.75
Face2Face,161_141_dft.png,137462375,327618,447843,284028
Face2Face,162_330_dft.png,82899868.75,208935.75,170653.75,117652.75
