Folder,Image,LL Energy,LH Energy,HL Energy,HH Energy
FaceShifter,000_003_dft.png,83537216.25,142951.25,163172.25,83723.25
FaceShifter,001_870_dft.png,77794318.25,180796.25,200234.25,109018.25
FaceShifter,002_006_dft.png,101940520.3,372361.25,556814.25,348245.25
FaceShifter,003_000_dft.png,86493230.5,440189.5,115310.5,54805.5
FaceShifter,004_982_dft.png,107439650,444081,231057,175594
FaceShifter,005_010_dft.png,111217977.8,186082.75,206489.75,98804.75
FaceShifter,006_002_dft.png,119208558,203448,384689,142187
FaceShifter,007_132_dft.png,86520920.5,237318.5,506735.5,176779.5
FaceShifter,008_990_dft.png,101159051.5,769154.5,264527.5,196118.5
FaceShifter,009_027_dft.png,130112556,506217,519871,398760
FaceShifter,010_005_dft.png,92108616.25,225144.25,217134.25,147512.25
FaceShifter,011_805_dft.png,67744167.75,156579.75,167803.75,97811.75
FaceShifter,012_026_dft.png,95152779,208049,281255,187905
FaceShifter,013_883_dft.png,77272604.5,209384.5,230296.5,147388.5
FaceShifter,014_790_dft.png,133191840.5,245486.5,225101.5,130735.5
FaceShifter,015_919_dft.png,94355673.5,240525.5,222614.5,111410.5
FaceShifter,016_209_dft.png,98427299,302882,197781,118978
FaceShifter,017_803_dft.png,71271876,171905,185570,100125
FaceShifter,018_019_dft.png,93586427,288408,316698,125483
FaceShifter,019_018_dft.png,77539082.25,138344.25,211628.25,90504.25
FaceShifter,020_344_dft.png,89255048.75,159751.75,343492.75,102837.75
FaceShifter,021_312_dft.png,126403168.5,585059.5,791783.5,497872.5
FaceShifter,022_489_dft.png,94235651.5,415505.5,588472.5,355712.5
FaceShifter,023_923_dft.png,102328691.8,229893.75,207973.75,106309.75
FaceShifter,024_073_dft.png,88110187.25,301630.25,168471.25,93278.25
FaceShifter,025_067_dft.png,79390211.25,288604.25,661421.25,237814.25
FaceShifter,026_012_dft.png,110932808.3,337707.25,300204.25,213749.25
FaceShifter,027_009_dft.png,105741105.8,345077.75,202927.75,97143.75
FaceShifter,028_068_dft.png,96605729,194700,159986,107405
FaceShifter,029_048_dft.png,81031173.5,215733.5,193761.5,93495.5
FaceShifter,030_193_dft.png,90892844.5,152532.5,142029.5,97059.5
FaceShifter,031_163_dft.png,119076901.3,134443.25,283928.25,69208.25
FaceShifter,032_944_dft.png,83519562.25,178451.25,165616.25,114351.25
FaceShifter,033_097_dft.png,89998069,303601,194303,117955
FaceShifter,034_590_dft.png,118094715.8,309256.75,364320.75,212445.75
FaceShifter,035_036_dft.png,78549512.25,173691.25,282285.25,116266.25
FaceShifter,036_035_dft.png,92083467.25,104371.25,188555.25,66707.25
FaceShifter,037_072_dft.png,88330735.75,513046.75,213289.75,143252.75
FaceShifter,038_125_dft.png,78037537.5,110286.5,106817.5,46478.5
FaceShifter,039_058_dft.png,94883313,397854,367491,283032
FaceShifter,040_997_dft.png,88942062.75,191074.75,322590.75,114672.75
FaceShifter,041_063_dft.png,95173133.5,364399.5,270211.5,118853.5
FaceShifter,042_084_dft.png,72938486.75,108845.75,121667.75,48430.75
FaceShifter,043_110_dft.png,76919139.5,218832.5,262185.5,124546.5
FaceShifter,044_945_dft.png,72011818.75,136408.75,126477.75,55643.75
FaceShifter,045_889_dft.png,51474743.5,156900.5,162847.5,63780.5
FaceShifter,046_904_dft.png,66108912,137204,147962,59248
FaceShifter,047_862_dft.png,100484634,428485,586422,377331
FaceShifter,048_029_dft.png,118037860.5,418632.5,205733.5,140045.5
FaceShifter,049_946_dft.png,93225728,143300,340226,108008
FaceShifter,050_059_dft.png,80067465.25,360940.25,544704.25,271003.25
FaceShifter,051_332_dft.png,100785826.5,425514.5,390848.5,282040.5
FaceShifter,052_108_dft.png,89941991.75,152625.75,149975.75,87895.75
FaceShifter,053_095_dft.png,93835168.75,359283.75,335605.75,231028.75
FaceShifter,054_071_dft.png,111531396.8,360621.75,294478.75,243343.75
FaceShifter,055_147_dft.png,114651256.5,251221.5,386552.5,180657.5
FaceShifter,056_996_dft.png,70968124.5,208121.5,267867.5,114536.5
FaceShifter,057_070_dft.png,83946424.75,95029.75,126792.75,50713.75
FaceShifter,058_039_dft.png,102419643,177467,372088,119846
FaceShifter,059_050_dft.png,88819671,256812,139769,74964
FaceShifter,060_088_dft.png,85183224.75,113692.75,139844.75,46870.75
FaceShifter,061_080_dft.png,91712198,492095,226247,176566
FaceShifter,062_066_dft.png,82530233,205361,218662,126542
FaceShifter,063_041_dft.png,85528178.75,418824.75,186992.75,78186.75
FaceShifter,064_991_dft.png,84138819.25,221598.25,304144.25,135789.25
FaceShifter,065_089_dft.png,83056521.25,109831.25,171312.25,61344.25
FaceShifter,066_062_dft.png,102782032.8,391390.75,461193.75,99295.75
FaceShifter,067_025_dft.png,71073441.5,396907.5,238747.5,221101.5
FaceShifter,068_028_dft.png,87200735,79728,140612,37667
FaceShifter,069_961_dft.png,87820442,192320,154866,72474
FaceShifter,070_057_dft.png,89636475,172957,195288,102450
FaceShifter,071_054_dft.png,85166628.75,104703.75,136948.75,43213.75
FaceShifter,072_037_dft.png,94160733.75,290322.75,214934.75,127621.75
FaceShifter,073_024_dft.png,71732138.75,205406.75,243156.75,135534.75
FaceShifter,074_825_dft.png,60565362.75,252193.75,269032.75,163225.75
FaceShifter,075_977_dft.png,85559930.25,158139.25,144194.25,75525.25
FaceShifter,076_079_dft.png,84286602.5,269972.5,200889.5,155581.5
FaceShifter,077_100_dft.png,84271078.25,205891.25,224808.25,123651.25
FaceShifter,078_955_dft.png,83607392,346091,294026,196997
FaceShifter,079_076_dft.png,72563187,122659,155188,58684
FaceShifter,080_061_dft.png,94007917.75,379571.75,340533.75,265303.75
FaceShifter,081_087_dft.png,102793446.5,282221.5,564719.5,180032.5
FaceShifter,082_103_dft.png,95890655.25,360959.25,306084.25,235128.25
FaceShifter,083_213_dft.png,116852926.8,475121.75,429447.75,271444.75
FaceShifter,084_042_dft.png,67927266,188198,176075,96793
FaceShifter,085_124_dft.png,93216343.5,275095.5,207053.5,138395.5
FaceShifter,086_090_dft.png,82264124.75,377986.75,217021.75,113277.75
FaceShifter,087_081_dft.png,112593022,362284,752165,308041
FaceShifter,088_060_dft.png,94489751.5,74817.5,156968.5,34180.5
FaceShifter,089_065_dft.png,71499753.75,175108.75,185614.75,111213.75
FaceShifter,090_086_dft.png,92350324.25,98482.25,170718.25,49902.25
FaceShifter,091_116_dft.png,95297067.25,326762.25,241757.25,158914.25
FaceShifter,092_098_dft.png,89731296.25,234744.25,302896.25,160676.25
FaceShifter,093_121_dft.png,64306958.5,106992.5,98445.5,35565.5
FaceShifter,094_111_dft.png,75239396,167164,165281,83985
FaceShifter,095_053_dft.png,91718018.75,130735.75,176627.75,85764.75
FaceShifter,096_101_dft.png,68963581,276437,340819,193491
FaceShifter,097_033_dft.png,99056708.75,300691.75,301287.75,211124.75
FaceShifter,098_092_dft.png,76582812.5,504325.5,218811.5,151492.5
FaceShifter,099_295_dft.png,63504697.25,189806.25,197129.25,96106.25
FaceShifter,100_077_dft.png,92550056,253019,310759,193630
FaceShifter,101_096_dft.png,112528115.8,308373.75,364918.75,125162.75
FaceShifter,102_114_dft.png,101439898.8,228471.75,296099.75,173114.75
FaceShifter,103_082_dft.png,86826759.25,104221.25,141179.25,52379.25
FaceShifter,104_126_dft.png,99446143.25,125509.25,96691.25,41975.25
FaceShifter,105_180_dft.png,92090602.75,155426.75,128800.75,62728.75
FaceShifter,106_198_dft.png,87867865.75,701716.75,372862.75,282517.75
FaceShifter,107_109_dft.png,93768162.5,201626.5,291625.5,143487.5
FaceShifter,108_052_dft.png,83444489.25,301026.25,502012.25,115737.25
FaceShifter,109_107_dft.png,111377321.8,359999.75,308089.75,243667.75
FaceShifter,110_043_dft.png,75965917.75,143607.75,406463.75,68843.75
FaceShifter,111_094_dft.png,130107993.5,569935.5,800824.5,401088.5
FaceShifter,112_892_dft.png,65419724.5,116948.5,114824.5,46232.5
FaceShifter,113_983_dft.png,71926401.5,241829.5,229619.5,139779.5
FaceShifter,114_102_dft.png,124350706.8,176455.75,269185.75,103218.75
FaceShifter,115_939_dft.png,70446500.25,215011.25,252449.25,154002.25
FaceShifter,116_091_dft.png,88992018.5,190518.5,206191.5,119485.5
FaceShifter,117_217_dft.png,83812589.5,169074.5,185146.5,139693.5
FaceShifter,118_120_dft.png,109874831.3,261585.25,389388.25,211090.25
FaceShifter,119_123_dft.png,81967223.5,268991.5,253615.5,157425.5
FaceShifter,120_118_dft.png,90093978,214319,221614,134413
FaceShifter,121_093_dft.png,86968320,162475,152724,66211
FaceShifter,122_144_dft.png,108453425.5,411852.5,191899.5,160126.5
FaceShifter,123_119_dft.png,80435023.75,220024.75,198539.75,121036.75
FaceShifter,124_085_dft.png,98988914.75,449109.75,199373.75,90090.75
FaceShifter,125_038_dft.png,72068109,251454,293840,157171
FaceShifter,126_104_dft.png,85176489.5,84713.5,107161.5,44077.5
FaceShifter,127_129_dft.png,97121817.25,435049.25,294133.25,248841.25
FaceShifter,128_896_dft.png,101276315.3,235724.25,333946.25,203271.25
FaceShifter,129_127_dft.png,89371435.75,273689.75,262203.75,134917.75
FaceShifter,130_139_dft.png,87801870.75,74269.75,111674.75,31979.75
FaceShifter,131_518_dft.png,105164318.8,285031.75,446535.75,218038.75
FaceShifter,132_007_dft.png,105389894.3,295454.25,330858.25,195984.25
FaceShifter,133_148_dft.png,116908047,800555,474468,353172
FaceShifter,134_192_dft.png,94377897,193248,225896,110873
FaceShifter,135_880_dft.png,106315690.5,155593.5,234847.5,109354.5
FaceShifter,136_285_dft.png,67980326.75,141072.75,187714.75,73194.75
FaceShifter,137_165_dft.png,139704589.5,313642.5,358798.5,243709.5
FaceShifter,138_142_dft.png,92380514,420357,557929,352286
FaceShifter,139_130_dft.png,96509426.75,196836.75,413795.75,132641.75
FaceShifter,140_143_dft.png,85397446.25,236110.25,121036.25,60236.25
FaceShifter,141_161_dft.png,73977921.25,154459.25,155791.25,89625.25
FaceShifter,142_138_dft.png,122381678,94421,180080,51969
FaceShifter,143_140_dft.png,75621333.5,223331.5,216303.5,94393.5
FaceShifter,144_122_dft.png,95773770.25,329884.25,194979.25,184009.25
FaceShifter,145_299_dft.png,97982146.75,261187.75,460585.75,242652.75
FaceShifter,146_256_dft.png,70495988.25,160119.25,164310.25,72673.25
FaceShifter,147_055_dft.png,76528768.75,153153.75,140097.75,73024.75
FaceShifter,148_133_dft.png,105110802,225392,252642,144066
FaceShifter,149_152_dft.png,75380382.5,253309.5,290547.5,154100.5
FaceShifter,150_153_dft.png,109342783,213603,381683,114081
FaceShifter,151_225_dft.png,97765650.25,217682.25,272512.25,156616.25
FaceShifter,152_149_dft.png,94108697.5,395638.5,465401.5,304302.5
FaceShifter,153_150_dft.png,88304238,108281,125783,58054
FaceShifter,154_386_dft.png,82575505.25,216019.25,170737.25,93573.25
FaceShifter,155_576_dft.png,77323400,239682,251831,163185
FaceShifter,156_243_dft.png,106575377.5,297146.5,239657.5,84506.5
FaceShifter,157_245_dft.png,85834160,245433,299290,197503
FaceShifter,158_379_dft.png,85876688.25,341556.25,330036.25,230882.25
FaceShifter,159_175_dft.png,96657522.5,107954.5,323984.5,68924.5
FaceShifter,160_928_dft.png,66417100,208223,160465,83926
FaceShifter,161_141_dft.png,136465717.5,312193.5,427701.5,259689.5
FaceShifter,162_330_dft.png,84239802.5,209293.5,170519.5,112350.5
FaceShifter,163_031_dft.png,103807652.5,596374.5,671523.5,497337.5
FaceShifter,164_216_dft.png,76077187.5,223717.5,242458.5,148762.5
FaceShifter,165_137_dft.png,104768210.5,347749.5,259120.5,119087.5
FaceShifter,166_167_dft.png,97038370.25,560527.25,241515.25,162460.25
FaceShifter,167_166_dft.png,85981697.25,429154.25,230116.25,161475.25
FaceShifter,168_222_dft.png,96581285.75,462071.75,334273.75,281753.75
FaceShifter,169_227_dft.png,82029371.5,340781.5,160263.5,60359.5
FaceShifter,170_186_dft.png,61121344,103509,166529,44396
FaceShifter,171_173_dft.png,71131173.75,167396.75,185910.75,90171.75
FaceShifter,172_582_dft.png,93307711.25,265303.25,331795.25,196803.25
FaceShifter,173_171_dft.png,75070914.75,137521.75,150796.75,63387.75
FaceShifter,174_964_dft.png,92110869.5,392996.5,437659.5,331564.5
FaceShifter,175_159_dft.png,83326438.5,122573.5,117397.5,50262.5
FaceShifter,176_190_dft.png,99830058.25,166794.25,135914.25,95120.25
FaceShifter,177_211_dft.png,79267345.75,131576.75,116645.75,64672.75
FaceShifter,178_598_dft.png,118054046,646516,560080,355700
FaceShifter,179_212_dft.png,91457778.25,218408.25,264726.25,133712.25
FaceShifter,180_105_dft.png,108097584,523264,189107,130339
FaceShifter,181_199_dft.png,89451944.5,368218.5,288427.5,210269.5
FaceShifter,182_242_dft.png,79283915.75,230731.75,236467.75,158401.75
FaceShifter,183_253_dft.png,92730650.5,234579.5,348587.5,161956.5
FaceShifter,184_205_dft.png,122137812.5,566641.5,697195.5,550634.5
FaceShifter,185_276_dft.png,90707068.25,175828.25,198373.25,101169.25
FaceShifter,186_170_dft.png,98877725.5,669256.5,486942.5,495059.5
FaceShifter,187_234_dft.png,70721897.75,158967.75,158470.75,80366.75
FaceShifter,188_191_dft.png,93213813.5,242710.5,219634.5,145787.5
FaceShifter,189_200_dft.png,93128908.25,196975.25,201909.25,105980.25
FaceShifter,190_176_dft.png,69120239.5,296526.5,137926.5,68555.5
FaceShifter,191_188_dft.png,59702305,159413,185422,72350
FaceShifter,192_134_dft.png,68893098.25,235325.25,216312.25,125799.25
FaceShifter,193_030_dft.png,75583112.5,100538.5,294188.5,62602.5
FaceShifter,194_235_dft.png,139335730.3,593716.25,609334.25,424496.25
FaceShifter,195_442_dft.png,79781658.75,174968.75,240499.75,118169.75
FaceShifter,196_310_dft.png,81593641.25,281032.25,428444.25,189385.25
FaceShifter,197_224_dft.png,98403008.5,418713.5,259020.5,163879.5
FaceShifter,198_106_dft.png,89883422.25,563860.25,572577.25,340097.25
FaceShifter,199_181_dft.png,100441933.5,292026.5,278234.5,161745.5
FaceShifter,200_189_dft.png,94796585.75,88067.75,177268.75,44320.75
FaceShifter,201_203_dft.png,84893913,276781,238900,159918
FaceShifter,202_348_dft.png,78006483,364762,169213,103338
FaceShifter,203_201_dft.png,124875641.5,190754.5,152492.5,104199.5
FaceShifter,204_230_dft.png,79411194.5,113730.5,292811.5,92217.5
FaceShifter,205_184_dft.png,82918636.5,269126.5,282635.5,209149.5
FaceShifter,206_221_dft.png,120294420,751377,720991,556632
FaceShifter,207_908_dft.png,53114962,133388,165273,61085
FaceShifter,208_215_dft.png,94295525.75,188739.75,192779.75,117975.75
FaceShifter,209_016_dft.png,94428383,170983,178823,75311
FaceShifter,210_241_dft.png,100052864,414849,374041,175024
FaceShifter,211_177_dft.png,78060397,268217,286433,177601
FaceShifter,212_179_dft.png,83539742.25,234692.25,227441.25,127071.25
FaceShifter,213_083_dft.png,85963347,200975,152669,81297
FaceShifter,214_255_dft.png,83252380.5,104734.5,112469.5,44083.5
FaceShifter,215_208_dft.png,100559673.5,255633.5,365651.5,197585.5
FaceShifter,216_164_dft.png,83131585.5,157725.5,171121.5,103633.5
FaceShifter,217_117_dft.png,67957151.25,142915.25,141557.25,79741.25
FaceShifter,218_239_dft.png,99310289.75,716191.75,665183.75,257209.75
FaceShifter,219_220_dft.png,71618650.75,140036.75,193642.75,76108.75
FaceShifter,220_219_dft.png,118889330.5,183966.5,384567.5,131775.5
FaceShifter,221_206_dft.png,104813804.5,561958.5,381801.5,343337.5
FaceShifter,222_168_dft.png,87284136.5,278116.5,219240.5,111868.5
FaceShifter,223_586_dft.png,63269612.75,194510.75,218665.75,108499.75
FaceShifter,224_197_dft.png,95840392.5,177660.5,186307.5,113005.5
FaceShifter,225_151_dft.png,92077571.5,162604.5,282412.5,128171.5
FaceShifter,226_491_dft.png,106855043,334656,269715,170454
FaceShifter,227_169_dft.png,98183712.25,272874.25,305674.25,208110.25
FaceShifter,228_289_dft.png,79484242,281822,278824,198306
FaceShifter,229_247_dft.png,94470099.5,589607.5,332683.5,206581.5
FaceShifter,230_204_dft.png,74732023.5,212528.5,268807.5,133298.5
FaceShifter,231_663_dft.png,116266125.5,380468.5,405012.5,200905.5
FaceShifter,232_248_dft.png,92754486.5,171916.5,115111.5,56481.5
FaceShifter,233_995_dft.png,71581265.5,234996.5,291919.5,162788.5
FaceShifter,234_187_dft.png,61779832.25,147858.25,128137.25,60533.25
FaceShifter,235_194_dft.png,86571324,166891,233950,117897
FaceShifter,236_237_dft.png,102346849.3,320941.25,189767.25,104059.25
FaceShifter,237_236_dft.png,69890353,272087,293509,185129
FaceShifter,238_282_dft.png,83514759.75,206164.75,216090.75,124457.75
FaceShifter,239_218_dft.png,91591752,310543,342168,65943
FaceShifter,240_290_dft.png,93391255.75,289467.75,317064.75,177804.75
FaceShifter,241_210_dft.png,98721751.5,312371.5,341237.5,218015.5
FaceShifter,242_182_dft.png,77918741.75,156322.75,160400.75,82711.75
FaceShifter,243_156_dft.png,82570192.75,185901.75,84129.75,46964.75
FaceShifter,244_822_dft.png,58564689.25,190404.25,182041.25,74188.25
FaceShifter,245_157_dft.png,110349338,402259,356081,273114
FaceShifter,246_258_dft.png,75376364,198845,263095,121348
FaceShifter,247_229_dft.png,84173719,84802,111534,40157
FaceShifter,248_232_dft.png,93598692.5,115074.5,321202.5,73334.5
FaceShifter,249_280_dft.png,76950828.5,120657.5,148242.5,54265.5
FaceShifter,250_461_dft.png,94956360.75,367864.75,394696.75,347376.75
FaceShifter,251_375_dft.png,84571076,352984,336253,246519
FaceShifter,252_266_dft.png,90234846.75,346238.75,187177.75,95193.75
FaceShifter,253_183_dft.png,66455651.25,123031.25,142113.25,58231.25
FaceShifter,254_261_dft.png,72098591.25,315860.25,347324.25,237589.25
FaceShifter,255_214_dft.png,66002626.25,137925.25,146056.25,59429.25
FaceShifter,256_146_dft.png,60984730.25,111573.25,124637.25,45448.25
FaceShifter,257_420_dft.png,89406477.25,117357.25,114323.25,40055.25
FaceShifter,258_246_dft.png,75932441.25,115173.25,174733.25,64545.25
FaceShifter,259_345_dft.png,98565977.25,356258.25,517716.25,117003.25
FaceShifter,260_331_dft.png,83964297.25,133486.25,226785.25,75110.25
FaceShifter,261_254_dft.png,105378545.5,537458.5,694667.5,417852.5
FaceShifter,262_301_dft.png,88557586.5,153300.5,345386.5,93270.5
FaceShifter,263_284_dft.png,74044323,111020,130302,52097
FaceShifter,264_271_dft.png,78465498.75,426889.75,406509.75,310986.75
FaceShifter,265_475_dft.png,50969391.5,144096.5,135976.5,58705.5
FaceShifter,266_252_dft.png,96573141,128650,392776,74713
FaceShifter,267_286_dft.png,70861662.25,177152.25,168349.25,69793.25
FaceShifter,268_269_dft.png,84119971.5,133084.5,142969.5,60428.5
FaceShifter,269_268_dft.png,116274437.8,317501.75,288862.75,195004.75
FaceShifter,270_297_dft.png,90255093.75,112344.75,139089.75,58464.75
FaceShifter,271_264_dft.png,93112791.25,210227.25,251441.25,140931.25
FaceShifter,272_396_dft.png,75805860.75,150517.75,178512.75,78705.75
FaceShifter,273_807_dft.png,108547659.8,180737.75,539974.75,127928.75
FaceShifter,274_412_dft.png,91319128.25,180966.25,212961.25,144447.25
FaceShifter,275_887_dft.png,111813073.5,87997.5,75364.5,39650.5
FaceShifter,276_185_dft.png,99385926.25,110201.25,144169.25,68588.25
FaceShifter,277_335_dft.png,94287242.25,417399.25,285095.25,156956.25
FaceShifter,278_306_dft.png,100317219.5,565386.5,488421.5,352922.5
FaceShifter,279_298_dft.png,144355034.8,578478.75,538300.75,415484.75
FaceShifter,280_249_dft.png,84530088.5,233634.5,90565.5,32163.5
FaceShifter,281_474_dft.png,113920838.3,326795.25,482552.25,309131.25
FaceShifter,282_238_dft.png,84143547.5,237435.5,272351.5,155097.5
FaceShifter,283_313_dft.png,93400289.25,537010.25,358407.25,108428.25
FaceShifter,284_263_dft.png,65027677,131700,114857,53412
FaceShifter,285_136_dft.png,82499596.25,165326.25,173599.25,94059.25
FaceShifter,286_267_dft.png,75103099.5,236162.5,234317.5,163934.5
FaceShifter,287_426_dft.png,60772802.25,101237.25,109654.25,46059.25
FaceShifter,288_321_dft.png,94736787.25,213892.25,426731.25,139266.25
FaceShifter,289_228_dft.png,97092644.75,206852.75,241399.75,175943.75
FaceShifter,290_240_dft.png,93399496,212252,244126,138510
FaceShifter,291_874_dft.png,80648887,71496,157192,42683
FaceShifter,292_294_dft.png,80913382.5,181073.5,218259.5,89356.5
FaceShifter,293_296_dft.png,102329419.8,180512.75,275584.75,132065.75
FaceShifter,294_292_dft.png,89178308.75,239972.75,292748.75,120996.75
FaceShifter,295_099_dft.png,49129279.25,112106.25,142943.25,48304.25
FaceShifter,296_293_dft.png,94494217,252811,179238,118004
FaceShifter,297_270_dft.png,88567557,550133,310214,223172
FaceShifter,298_279_dft.png,94610501.75,482426.75,135649.75,71044.75
FaceShifter,299_145_dft.png,90589618,240494,228630,142442
FaceShifter,300_304_dft.png,90320979,350838,213146,123817
FaceShifter,301_262_dft.png,111080613,301982,312218,243925
FaceShifter,302_323_dft.png,78081571.5,265264.5,269362.5,160757.5
FaceShifter,303_309_dft.png,77859230.75,81893.75,118461.75,38324.75
FaceShifter,304_300_dft.png,107332424,394039,255781,190314
FaceShifter,305_513_dft.png,88709162.25,190231.25,434693.25,128634.25
FaceShifter,306_278_dft.png,106277723,269284,376245,189780
FaceShifter,307_365_dft.png,84928261.5,230706.5,250693.5,160884.5
FaceShifter,308_388_dft.png,92875283.25,457789.25,389332.25,350496.25
FaceShifter,309_303_dft.png,94366687.25,254418.25,315571.25,111782.25
FaceShifter,310_196_dft.png,72270659,195947,252856,132722
FaceShifter,311_387_dft.png,83209374.5,196121.5,204634.5,116003.5
FaceShifter,312_021_dft.png,84580441.25,159540.25,178346.25,85781.25
FaceShifter,313_283_dft.png,100056259,526349,286888,223060
FaceShifter,314_347_dft.png,79736037.25,362460.25,383000.25,269947.25
FaceShifter,315_322_dft.png,101237529,201007,165715,105079
FaceShifter,316_369_dft.png,93647229.75,231123.75,325328.75,130496.75
FaceShifter,317_359_dft.png,108534166,271086,330558,176582
FaceShifter,318_334_dft.png,101423877.3,409813.25,330130.25,146188.25
FaceShifter,319_352_dft.png,71243113.75,214197.75,230473.75,129873.75
FaceShifter,320_328_dft.png,97095246.5,117477.5,114361.5,55232.5
FaceShifter,321_288_dft.png,124154428.5,355733.5,542569.5,333282.5
FaceShifter,322_315_dft.png,92936081.5,485368.5,283678.5,235447.5
FaceShifter,323_302_dft.png,81511432.75,90216.75,122898.75,46746.75
FaceShifter,324_356_dft.png,114147263.3,174976.25,160932.25,79199.25
FaceShifter,325_492_dft.png,77906487,129166,195471,69218
FaceShifter,326_501_dft.png,103931702.5,210910.5,390265.5,157441.5
FaceShifter,327_329_dft.png,101569482.8,251502.75,298820.75,120848.75
FaceShifter,328_320_dft.png,71253947.25,135425.25,148525.25,73139.25
FaceShifter,329_327_dft.png,131614255.5,925519.5,1026563.5,749119.5
FaceShifter,330_162_dft.png,66980106.75,176148.75,139609.75,87373.75
FaceShifter,331_260_dft.png,84534337.25,282311.25,311153.25,180543.25
FaceShifter,332_051_dft.png,79089003.75,128017.75,180672.75,61404.75
FaceShifter,333_377_dft.png,93487142.5,215456.5,183453.5,105399.5
FaceShifter,334_318_dft.png,101390151,244179,330956,175654
FaceShifter,335_277_dft.png,88675034,340880,314882,198810
FaceShifter,336_338_dft.png,94344857.25,309027.25,215873.25,135967.25
FaceShifter,337_522_dft.png,98333406.25,219418.25,257218.25,157200.25
FaceShifter,338_336_dft.png,119565100.5,257650.5,256467.5,147543.5
FaceShifter,339_392_dft.png,94452410.25,127270.25,304176.25,79608.25
FaceShifter,340_341_dft.png,91789335.25,392132.25,504973.25,292804.25
FaceShifter,341_340_dft.png,115317839,371560,299820,228983
FaceShifter,342_416_dft.png,84629482.5,152057.5,513061.5,98100.5
FaceShifter,343_363_dft.png,76435722.75,292401.75,343508.75,207011.75
FaceShifter,344_020_dft.png,96025830,197108,225922,140216
FaceShifter,345_259_dft.png,94270761,387932,361532,114579
FaceShifter,346_351_dft.png,97504401.25,523853.25,318730.25,237048.25
FaceShifter,347_314_dft.png,88131496.75,248944.75,304684.75,188982.75
FaceShifter,348_202_dft.png,85186387.25,594190.25,350061.25,291190.25
FaceShifter,349_350_dft.png,79252937,270948,297484,176675
FaceShifter,350_349_dft.png,80862260.75,195832.75,245117.75,122977.75
FaceShifter,351_346_dft.png,93045093.75,291452.75,284648.75,189991.75
FaceShifter,352_319_dft.png,100931872.5,180792.5,329171.5,130231.5
FaceShifter,353_383_dft.png,78706106,158941,191746,103807
FaceShifter,354_362_dft.png,68122299.25,147563.25,169975.25,64913.25
