Folder,Image,LL Energy,LH Energy,HL Energy,HH Energy
NeuralTextures,000_003_dft.png,77933337.25,159067.25,182523.25,98751.25
NeuralTextures,001_870_dft.png,79817559,180013,199645,108033
NeuralTextures,002_006_dft.png,113066895.5,386670.5,579727.5,359508.5
NeuralTextures,003_000_dft.png,88986569.75,438686.75,115239.75,55090.75
NeuralTextures,004_982_dft.png,113100385.3,438264.25,227901.25,173822.25
NeuralTextures,005_010_dft.png,108866575,188268,186048,108665
NeuralTextures,006_002_dft.png,102068409,209508,398293,147518
NeuralTextures,007_132_dft.png,85397713,218165,465238,181190
NeuralTextures,008_990_dft.png,103756344.3,815725.25,317960.25,247145.25
NeuralTextures,009_027_dft.png,133965583.5,502074.5,523298.5,394673.5
NeuralTextures,010_005_dft.png,89886825.25,238336.25,231899.25,162090.25
NeuralTextures,011_805_dft.png,70165462.5,175168.5,186038.5,116936.5
NeuralTextures,012_026_dft.png,90265206.5,219513.5,294630.5,195959.5
NeuralTextures,013_883_dft.png,84028406.75,204441.75,225631.75,143350.75
NeuralTextures,014_790_dft.png,131166323.5,247152.5,225891.5,131868.5
NeuralTextures,015_919_dft.png,90619344.75,243422.75,228205.75,114163.75
NeuralTextures,016_209_dft.png,99076148.5,322753.5,204807.5,133046.5
NeuralTextures,017_803_dft.png,78284411.75,174491.75,183912.75,101884.75
NeuralTextures,018_019_dft.png,92004102.5,288371.5,319132.5,124849.5
NeuralTextures,019_018_dft.png,80854242.75,148933.75,222254.75,103697.75
NeuralTextures,020_344_dft.png,86679717.5,162450.5,345559.5,105510.5
NeuralTextures,021_312_dft.png,136437510.3,580716.25,774108.25,521618.25
NeuralTextures,022_489_dft.png,98051788.75,421552.75,590478.75,362176.75
NeuralTextures,023_923_dft.png,101166271.8,232476.75,208975.75,106696.75
NeuralTextures,024_073_dft.png,85460409.75,301808.75,170008.75,94607.75
NeuralTextures,025_067_dft.png,75110254.25,301829.25,678770.25,250407.25
NeuralTextures,026_012_dft.png,113241984.3,335581.25,297924.25,210397.25
NeuralTextures,027_009_dft.png,105975526,345926,202579,95517
NeuralTextures,028_068_dft.png,81833447.25,195961.25,172057.25,114487.25
NeuralTextures,029_048_dft.png,74503785.5,203440.5,185115.5,93564.5
NeuralTextures,030_193_dft.png,91531944.5,154200.5,144123.5,99751.5
NeuralTextures,031_163_dft.png,122693153,147031,319115,81637
NeuralTextures,032_944_dft.png,79561537.5,183916.5,172445.5,119858.5
NeuralTextures,033_097_dft.png,96659878.5,207965.5,234917.5,136318.5
NeuralTextures,034_590_dft.png,122211200.3,301411.25,359824.25,208433.25
NeuralTextures,035_036_dft.png,76852042.25,191438.25,314787.25,140007.25
NeuralTextures,036_035_dft.png,92639638.5,104643.5,188255.5,67880.5
NeuralTextures,037_072_dft.png,82650598.5,263760.5,221876.5,145886.5
NeuralTextures,038_125_dft.png,77939709.5,109466.5,106247.5,49250.5
NeuralTextures,039_058_dft.png,92682902.5,393261.5,381586.5,285837.5
NeuralTextures,040_997_dft.png,74537496,209777,322263,125866
NeuralTextures,041_063_dft.png,90608099.25,166981.25,254751.25,115355.25
NeuralTextures,042_084_dft.png,83662048.25,104228.25,117225.25,48423.25
NeuralTextures,043_110_dft.png,80925981.75,210946.75,255203.75,119228.75
NeuralTextures,044_945_dft.png,67243295.5,138898.5,128783.5,56772.5
NeuralTextures,045_889_dft.png,58579609.75,146833.75,134268.75,60746.75
NeuralTextures,046_904_dft.png,66800707,149905,159052,69622
NeuralTextures,047_862_dft.png,91043668,428152,620567,376635
NeuralTextures,048_029_dft.png,107941024.8,427810.75,209972.75,145012.75
NeuralTextures,049_946_dft.png,92645560.75,145354.75,335709.75,106483.75
NeuralTextures,050_059_dft.png,83891232,352308,541755,264283
NeuralTextures,051_332_dft.png,93232477.5,424280.5,386731.5,279406.5
NeuralTextures,052_108_dft.png,97876647.75,149152.75,152355.75,87878.75
NeuralTextures,053_095_dft.png,83638468.75,372637.75,337900.75,232777.75
NeuralTextures,054_071_dft.png,107850448.3,361232.25,290160.25,238808.25
NeuralTextures,055_147_dft.png,115188607.3,252874.25,384355.25,180152.25
NeuralTextures,056_996_dft.png,77766650.75,202183.75,260340.75,112537.75
NeuralTextures,057_070_dft.png,84208204.75,94881.75,132905.75,52652.75
NeuralTextures,058_039_dft.png,98190119,186898,363828,123939
NeuralTextures,059_050_dft.png,84414999.75,274599.75,146223.75,81271.75
NeuralTextures,060_088_dft.png,85399764,105203,142047,46624
NeuralTextures,061_080_dft.png,97635071,300291,209566,135778
NeuralTextures,062_066_dft.png,84666974.75,206140.75,218127.75,128499.75
NeuralTextures,063_041_dft.png,84803118.25,436892.25,203902.25,93604.25
NeuralTextures,064_991_dft.png,88285054.75,216278.75,300439.75,134829.75
NeuralTextures,065_089_dft.png,85790664.75,110792.75,170538.75,60888.75
NeuralTextures,066_062_dft.png,84029319.5,133902.5,449141.5,91116.5
NeuralTextures,067_025_dft.png,70814182,406986,247093,228601
NeuralTextures,068_028_dft.png,89135442.5,78865.5,140769.5,37494.5
NeuralTextures,069_961_dft.png,83958449,193021,162429,80677
NeuralTextures,070_057_dft.png,91227555.75,172713.75,193843.75,100875.75
NeuralTextures,071_054_dft.png,86970382.75,106243.75,138217.75,45984.75
NeuralTextures,072_037_dft.png,89831110.75,192175.75,227988.75,125939.75
NeuralTextures,073_024_dft.png,67475946.5,237119.5,264276.5,160409.5
NeuralTextures,074_825_dft.png,68325376.75,247717.75,265501.75,158188.75
NeuralTextures,075_977_dft.png,85466054.5,158170.5,144060.5,75158.5
NeuralTextures,076_079_dft.png,73242844.5,271643.5,199181.5,153918.5
NeuralTextures,077_100_dft.png,85587896.25,224416.25,243795.25,138967.25
NeuralTextures,078_955_dft.png,74622337.75,350087.75,299945.75,216155.75
NeuralTextures,079_076_dft.png,74371007.25,134918.25,162480.25,64169.25
NeuralTextures,080_061_dft.png,88813091.75,381599.75,342807.75,279129.75
NeuralTextures,081_087_dft.png,102779715.5,228019.5,495848.5,188764.5
NeuralTextures,082_103_dft.png,93417261.75,364048.75,313363.75,241168.75
NeuralTextures,083_213_dft.png,111270160,548727,572961,352464
NeuralTextures,084_042_dft.png,61675374.25,200378.25,184433.25,103279.25
NeuralTextures,085_124_dft.png,83709196.25,283289.25,214573.25,142790.25
NeuralTextures,086_090_dft.png,80253891.25,360113.25,202715.25,106401.25
NeuralTextures,087_081_dft.png,107599736.5,369082.5,758889.5,310625.5
NeuralTextures,088_060_dft.png,101732205.3,74385.25,153520.25,33744.25
NeuralTextures,089_065_dft.png,72980380.25,177137.25,190828.25,113369.25
NeuralTextures,090_086_dft.png,89461517.5,98110.5,172713.5,50552.5
NeuralTextures,091_116_dft.png,88329604,408526,414772,300646
NeuralTextures,092_098_dft.png,85915457.5,253083.5,326629.5,177263.5
NeuralTextures,093_121_dft.png,57662822.25,115457.25,98552.25,37113.25
NeuralTextures,094_111_dft.png,73891756.5,169060.5,168284.5,87724.5
NeuralTextures,095_053_dft.png,96031811.25,132745.25,183518.25,92272.25
NeuralTextures,096_101_dft.png,79465578,267113,329144,187947
NeuralTextures,097_033_dft.png,98359605.75,298808.75,298800.75,213059.75
