Folder,Image,LL Energy,LH Energy,HL Energy,HH Energy
original,000_dft.png,192813005.3,318664.25,599079.25,212598.25
original,001_dft.png,238445452.8,824708.75,1007041.75,781647.75
original,002_dft.png,289835648.8,1256039.75,1887554.75,1235531.75
original,003_dft.png,220164161.3,474834.25,316527.25,68634.25
original,004_dft.png,253454850.8,773926.75,764495.75,608851.75
original,005_dft.png,247801035.5,511359.5,1471463.5,471129.5
original,006_dft.png,302369180.5,615220.5,1552362.5,456536.5
original,007_dft.png,222825532.3,1358160.25,1879924.25,1169696.25
original,008_dft.png,299802751.5,1201512.5,1869108.5,1089227.5
original,009_dft.png,373383131,691792,2782639,716712
original,010_dft.png,233402928,535006,629324,460508
original,011_dft.png,218471750.3,1092388.25,983729.25,1169077.25
original,012_dft.png,253073844.8,633776.75,887896.75,660560.75
original,013_dft.png,245044640,339490,897696,307500
original,014_dft.png,303045717.3,964898.25,1396598.25,946589.25
original,015_dft.png,291558630.8,332417.75,1126830.75,294015.75
original,016_dft.png,281946341.3,917816.25,585431.25,555498.25
original,017_dft.png,125672683.3,327057.25,576301.25,211133.25
original,018_dft.png,219233771.8,555817.75,367039.75,226005.75
original,019_dft.png,262561377.5,360219.5,3317137.5,341335.5
original,020_dft.png,220865286.5,596343.5,2174858.5,346837.5
original,021_dft.png,330358767,1988187,2014315,1891743
original,022_dft.png,286787715,2013433,2416964,2074516
original,023_dft.png,283128660.8,399955.75,724475.75,343092.75
original,024_dft.png,188864353.3,288177.25,547638.25,150904.25
original,025_dft.png,270320390.3,1165272.25,2096311.25,1176673.25
original,026_dft.png,279939673.3,581897.25,1127773.25,378789.25
original,027_dft.png,250819137.8,448304.75,331968.75,169841.75
original,028_dft.png,294376050,1537397,631473,611936
original,029_dft.png,205182262.8,330382.75,410941.75,113415.75
original,030_dft.png,237217391,163565,163981,79129
original,031_dft.png,241177336.3,219471.25,1149636.25,171655.25
original,032_dft.png,202317610.8,909392.75,759351.75,595819.75
original,033_dft.png,219066546.3,368489.25,618848.25,333723.25
original,034_dft.png,242223783.5,801250.5,1009694.5,833279.5
original,035_dft.png,294400872.3,553637.25,1986206.25,506843.25
original,036_dft.png,258452249,165779,379362,105924
original,037_dft.png,222434006,671792,558483,349883
original,038_dft.png,208289021.5,205519.5,228741.5,118877.5
original,039_dft.png,335393939,1026267,1592168,942108
original,040_dft.png,226873068,937594,869947,733513
original,041_dft.png,262183835.5,266535.5,970668.5,197378.5
original,042_dft.png,182232453,133923,356789,42023
original,043_dft.png,272822218.5,718391.5,1854618.5,592461.5
original,044_dft.png,205379421.3,478838.25,509196.25,423133.25
original,045_dft.png,125716013.8,217388.75,232133.75,60958.75
original,046_dft.png,165488234.3,1197382.25,454899.25,333185.25
original,047_dft.png,300330060,889087,1229962,853567
original,048_dft.png,244926504.3,845185.25,998863.25,629164.25
original,049_dft.png,199333663.3,286716.25,572317.25,202620.25
original,050_dft.png,263944459.3,1033313.25,2054607.25,922273.25
original,051_dft.png,325931412.8,685018.75,2162615.75,513835.75
original,052_dft.png,183479827.5,226586.5,427488.5,141495.5
original,053_dft.png,200619732.8,1067184.75,1096731.75,834649.75
original,054_dft.png,332874366.8,776112.75,1796810.75,829534.75
original,055_dft.png,375776367.5,455381.5,2698022.5,413232.5
original,056_dft.png,244438555.8,460035.75,4224587.75,417355.75
original,057_dft.png,192791070.3,126271.25,488601.25,85452.25
original,058_dft.png,237533133,430744,863338,357105
original,059_dft.png,188866325.5,313786.5,356293.5,135460.5
original,060_dft.png,245734573,136356,470363,72268
original,061_dft.png,220540697.8,756275.75,737684.75,619720.75
original,062_dft.png,241371357,830204,906734,632199
original,063_dft.png,224847978,393085,537946,212973
original,064_dft.png,270243186,1353127,1450857,1121932
original,065_dft.png,247042853.3,238432.25,524630.25,168725.25
original,066_dft.png,228021478.5,570785.5,674521.5,364934.5
original,067_dft.png,121335960.3,602507.25,584920.25,380455.25
original,068_dft.png,190182789.8,86905.75,224208.75,28268.75
original,069_dft.png,233613782.3,199823.25,269279.25,69600.25
original,070_dft.png,238479067.5,191372.5,392554.5,113173.5
original,071_dft.png,229073746.5,203502.5,300347.5,83011.5
original,072_dft.png,185068307.8,528143.75,729940.75,427602.75
original,073_dft.png,162489329.8,458134.75,1128290.75,398853.75
original,074_dft.png,154095319.5,624138.5,662643.5,545268.5
original,075_dft.png,221739809.8,1184068.75,649433.75,587636.75
original,076_dft.png,234270863,1390884,781810,769945
original,077_dft.png,309839302.3,456004.25,1862869.25,547645.25
original,078_dft.png,182720255.3,906640.25,1406793.25,649034.25
original,079_dft.png,161751176.5,870929.5,805856.5,437527.5
original,080_dft.png,274440502.8,2097744.75,1742061.75,1529833.75
original,081_dft.png,217698101.3,686704.25,792880.25,711489.25
original,082_dft.png,237358231.5,1038188.5,719217.5,672756.5
original,083_dft.png,191853397.5,1222370.5,1005954.5,836985.5
original,084_dft.png,131106865,500384,345974,246133
original,085_dft.png,212701794.8,1687315.75,1086983.75,943858.75
original,086_dft.png,322102732,446355,1220034,467449
original,087_dft.png,291428390.3,1310620.25,2737917.25,1266947.25
original,088_dft.png,246474419.3,420605.25,337048.25,817004.25
original,089_dft.png,206663270.3,440032.25,373174.25,262158.25
original,090_dft.png,287737383.8,61821.75,1323964.75,49434.75
original,091_dft.png,236299462.8,635585.75,775424.75,500373.75
original,092_dft.png,303437244.8,542213.75,771934.75,506349.75
original,093_dft.png,113271751.5,122640.5,107231.5,18840.5
original,094_dft.png,227970761.8,388130.75,809695.75,267160.75
original,095_dft.png,258095200.5,506899.5,513248.5,384427.5
original,096_dft.png,189317816.5,1105755.5,1834098.5,776601.5
original,097_dft.png,255367361.8,1292502.75,1456761.75,1051478.75
original,098_dft.png,192286361.8,638026.75,577342.75,297501.75
original,099_dft.png,164736883,1016295,966869,960335
original,100_dft.png,218058701.8,409726.75,600466.75,364771.75
original,101_dft.png,257647339.5,406600.5,884164.5,305207.5
original,102_dft.png,312244332.8,881086.75,1791058.75,929402.75
original,103_dft.png,198509462.5,207417.5,539141.5,144082.5
original,104_dft.png,229999003,203861,266960,40166
original,105_dft.png,292355283,435263,356775,170771
original,106_dft.png,364668504.3,1883207.25,2413813.25,1765166.25
original,107_dft.png,307544739.3,634190.25,708702.25,672775.25
original,108_dft.png,155333186.3,312260.25,507902.25,175266.25
original,109_dft.png,258968972.3,519758.25,576689.25,394347.25
original,110_dft.png,187565700,240388,548747,98555
original,111_dft.png,296046856.8,1865184.75,3007418.75,1687918.75
original,112_dft.png,166742130.8,131587.75,207279.75,69054.75
original,113_dft.png,190008043.3,1729396.25,1660345.25,1555968.25
original,114_dft.png,227837783.5,444974.5,824005.5,388396.5
original,115_dft.png,257905670.8,895024.75,1268435.75,851927.75
original,116_dft.png,251357221.5,377255.5,816003.5,341935.5
original,117_dft.png,211022631.3,378162.25,565687.25,225440.25
original,118_dft.png,283939817,998819,1227688,916960
original,119_dft.png,170197832.5,883170.5,574716.5,383904.5
original,120_dft.png,219902520.5,1075138.5,899456.5,922276.5
original,121_dft.png,130504243.5,288932.5,175823.5,45432.5
original,122_dft.png,198440504.8,1208809.75,1072579.75,681734.75
original,123_dft.png,237257237.3,704017.25,461466.25,301512.25
original,124_dft.png,222561363,283134,685795,145026
original,125_dft.png,155641718.3,1249561.25,1539512.25,1017839.25
